
IP, Time, Count, TotalTime, AvgTime
49.218.70.78, 2019-02-16 08:00, 1, 31, 31
106.120.173.150, 2019-02-16 08:00, 2, 327, 163
223.141.92.117, 2019-02-16 08:00, 3, 124, 41
46.229.168.145, 2019-02-16 08:00, 2, 2718, 1359
106.120.173.111, 2019-02-16 08:00, 1, 187, 187
3.84.243.246, 2019-02-16 08:00, 5, 3138, 627
46.229.168.137, 2019-02-16 08:00, 1, 1312, 1312
46.229.168.129, 2019-02-16 08:00, 1, 203, 203
219.69.71.86, 2019-02-16 08:00, 2, 1562, 781
46.229.168.144, 2019-02-16 08:00, 1, 1375, 1375
46.229.168.153, 2019-02-16 08:00, 2, 421, 210
46.229.168.146, 2019-02-16 08:00, 1, 203, 203
46.229.168.150, 2019-02-16 08:00, 2, 2030, 1015
46.229.168.140, 2019-02-16 08:00, 1, 249, 249
46.229.168.131, 2019-02-16 08:00, 2, 1546, 773
46.229.168.151, 2019-02-16 08:00, 1, 1374, 1374
46.229.168.142, 2019-02-16 08:00, 1, 1359, 1359
46.229.168.143, 2019-02-16 08:01, 1, 3937, 3937
46.229.168.144, 2019-02-16 08:01, 1, 1546, 1546
46.229.168.148, 2019-02-16 08:01, 2, 3687, 1843
219.69.71.86, 2019-02-16 08:01, 1, 250, 250
46.229.168.130, 2019-02-16 08:01, 2, 4703, 2351
106.120.173.150, 2019-02-16 08:01, 2, 1921, 960
220.181.125.149, 2019-02-16 08:01, 2, 2749, 1374
46.229.168.129, 2019-02-16 08:01, 2, 4436, 2218
220.181.125.146, 2019-02-16 08:01, 2, 827, 413
46.229.168.133, 2019-02-16 08:01, 1, 1468, 1468
207.46.13.148, 2019-02-16 08:01, 1, 187, 187
106.38.241.133, 2019-02-16 08:01, 2, 6671, 3335
40.77.167.204, 2019-02-16 08:01, 1, 218, 218
46.229.168.134, 2019-02-16 08:01, 1, 2906, 2906
175.97.41.147, 2019-02-16 08:01, 2, 18843, 9421
106.120.173.111, 2019-02-16 08:01, 2, 2921, 1460
157.55.39.174, 2019-02-16 08:01, 1, 11546, 11546
46.229.168.140, 2019-02-16 08:01, 1, 3593, 3593
66.249.71.111, 2019-02-16 08:01, 1, 13437, 13437
175.97.41.147, 2019-02-16 08:02, 3, 21186, 7062
46.229.168.136, 2019-02-16 08:02, 1, 3171, 3171
114.41.229.115, 2019-02-16 08:02, 6, 779, 129
46.229.168.142, 2019-02-16 08:02, 1, 3156, 3156
69.171.251.18, 2019-02-16 08:02, 2, 452, 226
157.55.39.212, 2019-02-16 08:02, 6, 3356, 559
106.38.241.148, 2019-02-16 08:02, 2, 3124, 1562
157.55.39.174, 2019-02-16 08:02, 3, 889, 296
46.229.168.133, 2019-02-16 08:02, 1, 7703, 7703
219.69.71.86, 2019-02-16 08:02, 2, 530, 265
46.229.168.149, 2019-02-16 08:02, 1, 2499, 2499
46.229.168.146, 2019-02-16 08:02, 1, 218, 218
3.84.243.246, 2019-02-16 08:02, 1, 4703, 4703
46.229.168.137, 2019-02-16 08:02, 1, 2171, 2171
46.229.168.150, 2019-02-16 08:02, 1, 187, 187
220.181.125.135, 2019-02-16 08:02, 2, 2952, 1476
46.229.168.152, 2019-02-16 08:02, 1, 2390, 2390
110.50.171.85, 2019-02-16 08:02, 2, 3999, 1999
46.229.168.132, 2019-02-16 08:02, 1, 4796, 4796
46.229.168.131, 2019-02-16 08:02, 1, 1875, 1875
46.229.168.138, 2019-02-16 08:03, 1, 2312, 2312
157.55.39.211, 2019-02-16 08:03, 1, 3421, 3421
46.229.168.150, 2019-02-16 08:03, 2, 2952, 1476
106.120.173.150, 2019-02-16 08:03, 2, 1202, 601
46.229.168.136, 2019-02-16 08:03, 1, 1703, 1703
157.55.39.212, 2019-02-16 08:03, 2, 1968, 984
46.229.168.141, 2019-02-16 08:03, 1, 3953, 3953
66.249.71.108, 2019-02-16 08:03, 1, 0, 0
66.249.71.111, 2019-02-16 08:03, 1, 46, 46
223.140.110.147, 2019-02-16 08:03, 3, 5546, 1848
46.229.168.132, 2019-02-16 08:03, 1, 1593, 1593
220.181.125.68, 2019-02-16 08:03, 1, 78, 78
220.181.125.146, 2019-02-16 08:03, 1, 2078, 2078
46.229.168.147, 2019-02-16 08:03, 1, 2734, 2734
220.181.125.149, 2019-02-16 08:03, 2, 2092, 1046
106.120.173.111, 2019-02-16 08:03, 2, 2452, 1226
46.229.168.145, 2019-02-16 08:03, 2, 5061, 2530
66.249.71.107, 2019-02-16 08:03, 1, 7359, 7359
46.229.168.134, 2019-02-16 08:03, 1, 1656, 1656
46.229.168.152, 2019-02-16 08:03, 1, 203, 203
220.181.125.135, 2019-02-16 08:04, 3, 8343, 2781
46.229.168.139, 2019-02-16 08:04, 1, 2484, 2484
69.191.249.218, 2019-02-16 08:04, 1, 5156, 5156
46.229.168.141, 2019-02-16 08:04, 2, 5328, 2664
46.229.168.140, 2019-02-16 08:04, 1, 203, 203
46.229.168.131, 2019-02-16 08:04, 2, 5999, 2999
42.236.10.77, 2019-02-16 08:04, 5, 16747, 3349
42.236.10.108, 2019-02-16 08:04, 4, 19779, 4944
42.236.10.79, 2019-02-16 08:04, 4, 15264, 3816
42.236.10.72, 2019-02-16 08:04, 6, 12326, 2054
42.236.10.122, 2019-02-16 08:04, 3, 7343, 2447
42.236.10.74, 2019-02-16 08:04, 9, 18232, 2025
42.236.10.76, 2019-02-16 08:04, 2, 5921, 2960
42.236.10.88, 2019-02-16 08:04, 4, 22826, 5706
42.236.10.70, 2019-02-16 08:04, 8, 49169, 6146
46.229.168.143, 2019-02-16 08:04, 1, 3515, 3515
42.236.10.109, 2019-02-16 08:04, 5, 19265, 3853
42.236.10.91, 2019-02-16 08:04, 1, 7406, 7406
42.236.10.89, 2019-02-16 08:04, 3, 9593, 3197
66.249.71.109, 2019-02-16 08:04, 1, 1015, 1015
106.38.241.122, 2019-02-16 08:04, 1, 1062, 1062
42.236.10.71, 2019-02-16 08:04, 2, 16155, 8077
42.236.10.112, 2019-02-16 08:04, 5, 9185, 1837
123.126.113.114, 2019-02-16 08:04, 1, 4249, 4249
42.236.10.120, 2019-02-16 08:04, 10, 12120, 1212
42.236.10.83, 2019-02-16 08:04, 1, 62, 62
42.236.10.110, 2019-02-16 08:04, 1, 62, 62
42.236.10.113, 2019-02-16 08:04, 8, 22419, 2802
42.236.10.90, 2019-02-16 08:04, 7, 53326, 7618
42.236.10.123, 2019-02-16 08:04, 2, 11015, 5507
42.236.10.81, 2019-02-16 08:04, 4, 19092, 4773
42.236.10.121, 2019-02-16 08:04, 6, 16607, 2767
106.120.173.150, 2019-02-16 08:04, 2, 2171, 1085
42.236.10.73, 2019-02-16 08:04, 2, 7280, 3640
42.236.10.116, 2019-02-16 08:04, 4, 18452, 4613
42.236.10.107, 2019-02-16 08:04, 2, 13624, 6812
46.229.168.138, 2019-02-16 08:04, 1, 1984, 1984
111.202.100.89, 2019-02-16 08:04, 2, 1764, 882
42.236.10.105, 2019-02-16 08:04, 5, 29653, 5930
106.38.241.182, 2019-02-16 08:04, 2, 2983, 1491
46.229.168.152, 2019-02-16 08:04, 1, 2203, 2203
106.38.241.148, 2019-02-16 08:04, 2, 2171, 1085
123.126.113.94, 2019-02-16 08:04, 2, 1390, 695
46.229.168.146, 2019-02-16 08:04, 1, 1984, 1984
123.126.113.115, 2019-02-16 08:04, 1, 3093, 3093
218.35.75.71, 2019-02-16 08:04, 2, 14624, 7312
46.229.168.136, 2019-02-16 08:04, 1, 2078, 2078
157.55.39.174, 2019-02-16 08:04, 1, 4640, 4640
106.38.241.146, 2019-02-16 08:04, 1, 62, 62
46.229.168.135, 2019-02-16 08:04, 1, 2249, 2249
123.126.113.163, 2019-02-16 08:05, 1, 1531, 1531
46.229.168.153, 2019-02-16 08:05, 2, 406, 203
46.229.168.147, 2019-02-16 08:05, 1, 5359, 5359
3.84.243.246, 2019-02-16 08:05, 2, 2952, 1476
46.229.168.139, 2019-02-16 08:05, 1, 2671, 2671
220.181.125.135, 2019-02-16 08:05, 1, 5484, 5484
46.229.168.140, 2019-02-16 08:05, 1, 234, 234
123.126.113.115, 2019-02-16 08:05, 1, 437, 437
46.229.168.136, 2019-02-16 08:05, 1, 1421, 1421
46.229.168.132, 2019-02-16 08:05, 1, 203, 203
46.229.168.151, 2019-02-16 08:05, 2, 2967, 1483
223.141.77.186, 2019-02-16 08:05, 2, 3702, 1851
46.229.168.129, 2019-02-16 08:05, 1, 1359, 1359
220.181.125.98, 2019-02-16 08:05, 2, 1827, 913
46.229.168.150, 2019-02-16 08:05, 1, 1406, 1406
123.126.113.94, 2019-02-16 08:05, 2, 187, 93
106.38.241.153, 2019-02-16 08:05, 2, 4452, 2226
114.41.229.115, 2019-02-16 08:05, 6, 793, 132
111.202.100.137, 2019-02-16 08:05, 2, 1109, 554
46.229.168.144, 2019-02-16 08:05, 1, 1875, 1875
106.120.173.111, 2019-02-16 08:05, 2, 1358, 679
46.229.168.145, 2019-02-16 08:05, 1, 1406, 1406
106.38.241.175, 2019-02-16 08:05, 1, 140, 140
106.120.173.150, 2019-02-16 08:05, 2, 1484, 742
66.249.71.107, 2019-02-16 08:05, 1, 0, 0
46.229.168.143, 2019-02-16 08:05, 1, 1500, 1500
46.229.168.141, 2019-02-16 08:05, 1, 1468, 1468
111.202.100.137, 2019-02-16 08:06, 2, 3671, 1835
123.126.113.163, 2019-02-16 08:06, 3, 2015, 671
220.181.51.82, 2019-02-16 08:06, 1, 78, 78
220.181.51.123, 2019-02-16 08:06, 1, 703, 703
220.181.125.68, 2019-02-16 08:06, 2, 3234, 1617
101.13.195.223, 2019-02-16 08:06, 2, 8467, 4233
46.229.168.136, 2019-02-16 08:06, 1, 2406, 2406
106.38.241.146, 2019-02-16 08:06, 1, 3000, 3000
54.36.148.123, 2019-02-16 08:06, 1, 6859, 6859
111.202.100.89, 2019-02-16 08:06, 2, 2014, 1007
46.229.168.151, 2019-02-16 08:06, 1, 2187, 2187
46.229.168.140, 2019-02-16 08:06, 1, 3171, 3171
157.55.39.211, 2019-02-16 08:06, 1, 2828, 2828
46.229.168.132, 2019-02-16 08:06, 1, 2937, 2937
220.181.125.130, 2019-02-16 08:06, 1, 250, 250
46.229.168.145, 2019-02-16 08:06, 1, 2734, 2734
111.255.131.204, 2019-02-16 08:06, 1, 8453, 8453
46.229.168.150, 2019-02-16 08:06, 1, 1750, 1750
46.229.168.149, 2019-02-16 08:06, 1, 218, 218
157.55.39.174, 2019-02-16 08:06, 1, 312, 312
106.38.241.175, 2019-02-16 08:06, 2, 3406, 1703
46.229.168.139, 2019-02-16 08:06, 1, 1484, 1484
46.229.168.134, 2019-02-16 08:06, 1, 1343, 1343
123.126.113.81, 2019-02-16 08:06, 1, 3046, 3046
123.126.113.163, 2019-02-16 08:07, 3, 1202, 400
46.229.168.135, 2019-02-16 08:07, 1, 203, 203
220.181.125.68, 2019-02-16 08:07, 2, 4249, 2124
157.55.39.174, 2019-02-16 08:07, 3, 545, 181
111.202.100.137, 2019-02-16 08:07, 1, 2218, 2218
46.229.168.150, 2019-02-16 08:07, 2, 2764, 1382
66.249.71.102, 2019-02-16 08:07, 1, 15, 15
66.249.71.109, 2019-02-16 08:07, 1, 15, 15
3.84.243.246, 2019-02-16 08:07, 1, 2593, 2593
46.229.168.132, 2019-02-16 08:07, 1, 1468, 1468
46.229.168.153, 2019-02-16 08:07, 2, 5327, 2663
123.126.113.94, 2019-02-16 08:07, 2, 3405, 1702
106.38.241.175, 2019-02-16 08:07, 3, 4421, 1473
46.229.168.141, 2019-02-16 08:07, 1, 4296, 4296
46.229.168.130, 2019-02-16 08:07, 1, 1531, 1531
