Page, QueryString, Method, ExecTime, Referer, TotalTime
/English/FileUploadCategoryListE003130.aspx," ""Pindex=23&CategoryID=317513f2-5a46-4d83-8a39-252e1e9580e3&appname=FileUploadCategoryListE003130""", GET, 2019-02-16 08:15:49 , -,27546
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 08:18:50 , android-app://com.google.android.googlequicksearchbox,47828
/FileUploadCategoryListC005100.aspx," ""CategoryID=75e40685-db00-44aa-9de7-88d41486304b&appname=FileUploadCategory5107""", GET, 2019-02-16 08:29:47 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107,28109
/FileUploadCategoryListC005100.aspx," ""Keyword=%e5%9c%98%e9%ab%94&CategoryID=75e40685-db00-44aa-9de7-88d41486304b&appname=FileUploadCategory5107""", GET, 2019-02-16 08:29:54 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?CategoryID=75e40685-db00-44aa-9de7-88d41486304b&appname=FileUploadCategory5107,76890
/FileUploadCategoryListC005100.aspx," ""CategoryID=75e40685-db00-44aa-9de7-88d41486304b&appname=FileUploadCategory5107""", GET, 2019-02-16 08:31:51 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?appname=FileUploadCategory5107&CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215,29656
/FileUploadCategoryListC003330.aspx," ""Pindex=1&CategoryID=e589e7db-30ba-4eeb-9f5d-28805cae30e0""", GET, 2019-02-16 08:37:37 , -,22750
/northguan-nsa/ActivitiesDetailC121200.aspx," ""Cond=c240ec05-e6be-4638-ad90-9aede804b0d1""", GET, 2019-02-16 08:39:24 , https://admin.taiwan.net.tw/northguan-nsa/,21578
/StandardTemplates/Handlers/TTSHandler.ashx," ""type=2&textData=%e6%aa%94%e6%a1%88%e8%a9%b3%e5%a6%82%e9%99%84%e4%bb%b6%e3%80%82""", GET, 2019-02-16 09:55:40 , -,60421
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 10:12:53 , -,47500
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 10:20:37 , https://admin.taiwan.net.tw/BusinessInfo/GuanguangTuiguang,20671
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 11:03:05 , https://www.google.com/,21874
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 12:14:56 , https://admin.taiwan.net.tw/News,22218
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 12:17:07 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107,22562
/FileUploadCategoryListC003330.aspx," ""appname=FileUploadCategoryListC003330""", GET, 2019-02-16 12:21:51 , https://admin.taiwan.net.tw/ActivitiesListC003320.aspx?appname=ActivitiesListC003320,25468
/FileUploadCategoryListC003330.aspx," ""appname=FileUploadCategoryListC003330""", GET, 2019-02-16 12:21:53 , https://admin.taiwan.net.tw/ActivitiesListC003320.aspx?appname=ActivitiesListC003320,23859
/swcoast-nsa/FileUploadCategoryListC053100.aspx," ""CategoryID=a3f16e53-87f0-42af-b253-838e5c31a117&appname=FileUploadCategoryC053104""", GET, 2019-02-16 12:22:21 , -,20796
/ActivitiesListC003320.aspx," ""CategoryID=25c5c414-062e-4e35-9379-68e448eeedb8""", GET, 2019-02-16 12:22:21 , https://admin.taiwan.net.tw/ActivitiesListC003320.aspx?appname=ActivitiesListC003320,21000
/FileUploadCategoryListC005100.aspx," ""CategoryID=a28f13db-115e-4684-a064-cddd0f99bb1a&appname=FileUploadCategory5106""", GET, 2019-02-16 12:28:22 , https://www.google.com/,20296
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 12:43:24 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107,26156
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 12:44:01 , https://admin.taiwan.net.tw/BusinessInfo/GuanguangTuiguang,28093
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 12:44:09 , https://admin.taiwan.net.tw/BusinessInfo/GuanguangTuiguang,30609
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 12:44:11 , http://www.google.com/,23531
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 12:45:31 , https://admin.taiwan.net.tw/BusinessInfo/GuanguangTuiguang,23859
/FileUploadCategoryListC005100.aspx," ""CategoryID=249547b4-089a-404c-8beb-c44deb4a7418&appname=FileUploadCategory5107""", GET, 2019-02-16 13:50:28 , https://admin.taiwan.net.tw/FileUploadCategoryListC005100.aspx?CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107,22843
/FAQListC003C00.aspx," ""Keyword=%e5%b0%8e%e9%81%8a""", GET, 2019-02-16 13:58:08 , https://admin.taiwan.net.tw/FAQListC003C00.aspx?Keyword=%e5%b0%8e%e9%81%8a%e8%ad%89,20125
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 14:09:59 , https://www.google.com/,24218
/TravelIndustryList.aspx," ""City=%e8%87%ba%e5%8c%97%e5%b8%82&Area=%e4%b8%ad%e5%b1%b1%e5%8d%80&SIKEY=%e7%94%b2%e7%a8%ae&NAME=%e5%92%8c%e6%98%8c""", GET, 2019-02-16 14:20:23 , https://admin.taiwan.net.tw/TravelIndustryList.aspx?City=%e8%87%ba%e5%8c%97%e5%b8%82&Area=%e4%b8%ad%e5%b1%b1%e5%8d%80&SIKEY=%e7%94%b2%e7%a8%ae&NAME=%e6%bc%a2%e6%96%af,20500
/index.aspx/public/public/news/public/news/public/public/public/public/public/public/news/public/public/public/news/news/public/public/news/FileUploadCategoryListC003400.aspx," ""appname=FileUploadCategory3408&CategoryID=38f9c35f-4a6f-44c5-9fbe-3e45b38fa61c""", GET, 2019-02-16 14:35:28 , -,22500
/erv-nsa/ActivitiesListC101100.aspx," ""Pindex=3""", GET, 2019-02-16 15:09:12 , https://admin.taiwan.net.tw/erv-nsa/ActivitiesListC101100.aspx?Pindex=2,21562
/index.aspx/news/public/public/news/news/public/public/public/news/news/public/news/news/news/news/public/news/public/news/public/public/news/ActivitiesListC001200.aspx," ""-""", GET, 2019-02-16 15:30:52 , -,163203
/index.aspx/news/news/news/public/public/public/public/news/public/news/public/public/public/public/public/public/news/news/news/public/public/news/ActivitiesDetailC001200.aspx," ""Cond=4f28c8b8-e23e-4c43-9e37-6e28cc622b64""", GET, 2019-02-16 15:32:44 , -,66937
/ActivitiesListC001200.aspx," ""Pindex=23""", GET, 2019-02-16 15:34:34 , https://admin.taiwan.net.tw/ActivitiesListC001200.aspx?appname=ActivitiesListC001200,20140
/TourismRegulationListC003200.aspx," ""Category=09&RegType=0&Keyword=%e5%be%9e%e6%a5%ad%e4%ba%ba%e5%93%a1%e8%a1%a8%e6%8f%9a%e8%be%a6%e6%b3%95%e8%a6%8f%e5%ae%9a""", GET, 2019-02-16 15:58:50 , https://admin.taiwan.net.tw/TourismRegulationListC003200.aspx?Category=09&RegType=0,34906
/FileUploadCategoryListC003330.aspx," ""CategoryID=5d16abba-e4d6-4498-8928-d391c7c7e28a&appname=FileUploadCategoryListC003330""", GET, 2019-02-16 16:02:40 , https://www.google.com/,27875
/TravelIndustryDetail.aspx," ""Cond=068200""", GET, 2019-02-16 16:02:40 , -,20156
/TravelIndustryList.aspx," ""appname=TravelIndustryList""", GET, 2019-02-16 16:09:06 , https://admin.taiwan.net.tw/BusinessInfo/TourismIndustry/Luxingye,26250
/TravelIndustryList.aspx," ""Pindex=3""", GET, 2019-02-16 16:10:36 , -,21765
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 16:10:59 , https://www.google.com/,24750
/FileUploadCategoryListC005100.aspx," ""CategoryID=b1b33985-6b36-4bf1-98b4-c66ed7d7b215&appname=FileUploadCategory5107""", GET, 2019-02-16 16:11:33 , https://www.google.com/,24375
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 16:11:33 , https://admin.taiwan.net.tw/BusinessInfo/TourismIndustry/Lusuye,30890
/WebBugReport.aspx," ""Url=https%3a%2f%2fwww.ali-nsa.gov.tw%2fTravelIndustryDetail.aspx%3fCond%3d057200&Header=%e6%97%85%e8%a1%8c%e6%a5%ad%e8%b3%87%e6%96%99%e8%88%87%e4%bf%9d%e9%9a%aa""", GET, 2019-02-16 16:11:34 , -,34859
/necoast-nsa/FileUploadCategoryListC133100.aspx," ""CategoryID=50bd1bf7-6dac-4d72-807b-f66cec97adba&appname=FileUploadCategoryC133101""", GET, 2019-02-16 16:14:28 , -,20515
/FileUploadCategoryListC003340.aspx," ""Pindex=1&CategoryID=d50bbf66-1b1d-4adf-b2b3-e9d349bdb4fe&appname=FileUploadCategoryListC003340""", GET, 2019-02-16 16:14:36 , -,20250
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 16:24:29 , https://admin.taiwan.net.tw/BusinessInfo,26734
/Page.do," ""pageID=2cb9debb-b696-4daf-9dd8-65c6b6897e09""", GET, 2019-02-16 16:24:59 , https://admin.taiwan.net.tw/BusinessInfo,33890
